"num","name","url","info","likes","genre","img","administrators","bio","albums"
"","DOGMI","http://www.rockit.it/dogmiofficial","Band, Recanati (MC), Marche","1","Rock, Punk, Garage ","url(/thumb700x250/foto/106720.jpg)","[""/user/DOGMI""]","\n<div class=""content-rece""><p>Band emergente proveniente da Recanati (MC).</p> <p>Ufficialmente si fidanzano nel settembre 2014, ma vanno a letto tra di loro almeno dal 2012.<br>\nDopo qualche mese di lavoro, ma sopratutto di sesso, iniziano a partorire diversi brani originali al punto da arrivare a produrre il primo EP (dal titolo omonimo al gruppo, DOGMI) nel gennaio 2015.<br>\nPrendono parte al concorso &quot;Guerra tra Bande&quot; classificandosi primi e vincendo la forte concorrenza di altri 20 gruppi nonostante nei risultati ufficiali del concorso compaia un altro esito.<br>\nIl genere del gruppo &#xE8; maschile con tendenze all&apos;omosessualit&#xE0;, musicalmente parlando vengono definiti come un gruppo proto-punk blues rock. Non ci &#xE8; dato sapere cosa voglia dire questa definizione.<br>\nNella loro breve ed inutile carriera vantano di non aver mai aperto nessun concerto, di aver contribuito nel cercare di rovinare il pi&#xF9; possibile una festa del PD e di essere stati cacciati dal palco durante una festa comunale.</p></div>\n","[{""name"":""DOGMI EP"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/29391.jpg"",""link"":""http://www.rockit.it/dogmiofficial/album/dogmi-ep/29391""}]"
"","Dogs in a flat","http://www.rockit.it/dogsinaflat","Band, Treviso, Veneto","4","Indie, Acustico, Alt-country ","url(/thumb700x250/foto/44883.jpg)","[""/recensione/17245/dogs-in-a-flat-days-before-the-robbery"",""/recensione/9616/dogs-in-a-flat-demons-in-love"",""/user/dogsinaflat"",""/user/garagerecords""]","\n<div class=""content-rece""><p>Mesdames et messieurs, ecco la musica per queste strade affollate. &#xC8; musica senza fiato per scendere di corsa le scale mentre Sam aspetta in macchina ed &#xE8; musica indulgente, per rendere eccezionale quel breve percorso fino alla stazione. &#xC8; musica speciale, per poco pi&#xF9; di un&#x2019;ora di treno. &#xC8; musica intensa dentro il primo bicchiere ed appassionata nell&#x2019;ultimo; &#xE8; sentimento country sotto terra e rock in ogni cosa. Finalmente i Dogs in a flat escono dall&#x2019;appartamento perdenti ed incantati, commossi e innamorati.</p></div>\n","[{""name"":""Days before the robbery"",""date"":"" 2011 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/17245.jpg"",""link"":""http://www.rockit.it/dogsinaflat/album/days-before-the-robbery/17245""},{""name"":""Demons in Love"",""date"":"" 2007 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/9616.jpg"",""link"":""http://www.rockit.it/dogsinaflat/album/demons-in-love/9616""}]"
"","Dogs'n'Pigs","http://www.rockit.it/dogsnpigs","Band, pisa (PI), Toscana","0","Metal, Covers, Hard Rock ","url(/thumb700x250/foto/85881.jpg)","[""/user/claudio"",""/user/dg312747s""]","\n<div class=""content-rece""><p>Dogs&apos;n&apos;Pigs 2014 anno di reunion</p> <p>L&apos;idea di dar vita ad una band nasce nel 1992, attiva dal vivo fin dal 1995 dopo molti avvicendamenti e piu di 80 concerti la band si scioglie nel 2007... e torna a vivere nel 2014!<br>\nIl gruppo propone covers di 4 pilastri del metal, in chiave &quot;Dogs&quot;,  l&apos;heavy classico inglese dei mitici Iron Maiden, Black Sabbath, Ozzy, e in chiave &quot;Pigs&quot;, cio&#xE8; il metallo americano degli anni 80 dei Metallica e Megadeth.</p></div>\n","[]"
"","Dogues De Bordeaux","http://www.rockit.it/doguesdebordeaux","Band, Lombardia","0","Rock ","url(/thumb700x250/foto/3776.jpg)","[""/user/dogues""]","\n<div class=""content-rece""><p>I Dogues De Bordeaux nascono a Bergamo nel 2000 e si presentano al pubblico bergamasco con dei pezzi rock dotati di grande grinta... Solo nel 2004 il gruppo registra il primo Ep Velvet Mushroom composto da 5 tracce.</p></div>\n","[]"
"","Doink","http://www.rockit.it/doink","Band, Veneto","1","Metal, Funk, Alternativo ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""></div>\n","[{""name"":""Speak Like Tou Eat"",""date"":"" 2009 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/doink/album/speak-like-tou-eat/10945""}]"
"","Dola J. Chaplin (Official)","http://www.rockit.it/DolaDolaDola","Band, Rome, London, Rochester (RM), Lazio","0","Alt-country ","url(/thumb700x250/foto/62881.jpg)","[""/recensione/19663/dola-j-chaplin-official-to-the-tremendous-road"",""/user/dolajchaplin""]","\n<div class=""content-rece""><p>To The Tremendous Road</p> <p>Abandoned love<br>\nAbandoned children in love<br>\nAbandoned innocense and purity<br>\nAbandoned simplicity<br>\nAbandoned summer days and windblown fields<br>\nI remember they used to grow corn there<br>\nKnee high by the 4th of July<br>\nAbandoned sheets blowing through the sky<br>\nAbandoned soft hills and laughter<br>\nAbandoned sunshine and evening fireflies<br>\nOn your birthday that one year they came in millions for us<br>\nAbandoned snail trails of tar across your street<br>\nAbandoned dreams together lying in your bed<br>\nAbandoned hope and promise<br>\nMy 12 mile ride and the flashing road sign<br>\nYour Abandoned pond with a little abandoned boat near the fox hole<br>\nAbandoned summer heat and dried roses hanging on your walls<br>\nAbandoned dances and walks through the park with your dog<br>\nAbandoned tang tops and the smell of your hair<br>\nAbandoned carpets leading to your door<br>\nI used to pick you up and carry you to bed asleep<br>\nYou would tuck your head on my chest<br>\nAbandoned shyness<br>\nAbandoned telephone calls staring across my window at night<br>\nwaiting for tomorrow<br>\nAbandoned ear rings that you still have on in every photograph<br>\nI bought those for you on your birthday<br>\nAnd you wear them maybe for us<br>\nAbandoned birthdays<br>\nAbandoned days of longing and poems to be together<br>\nOur abandoned black book under your bed<br>\nAbandoned vase and sculptures<br>\nYour abandoned glass door I would knock on silently<br>\nAbandoned piano room and the angel wing begonia<br>\nthat continues to grow.<br>\n<br>\n<br>\n&quot;TO THE TREMENDOUS ROAD&quot; <br>\nalbum out may 2012</p></div>\n","[{""name"":""To The Tremendous Road"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/19663.jpg"",""link"":""http://www.rockit.it/DolaDolaDola/album/to-the-tremendous-road/19663""}]"
"","Dolcelete","http://www.rockit.it/dolcelete","Band, Lombardia","0","Rock, Pop ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/recensione/2049/dolcelete-non-demordo""]","\n<div class=""content-rece""></div>\n","[{""name"":""Non DEMOrdo"",""date"":"" 2000 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/dolcelete/album/non-demordo/2049""}]"
"","DolceMente","http://www.rockit.it/dolcemente","Band, Puglia","1","Pop, Indie, Elettronico ","url(/thumb700x250/foto/4791.jpg)","[""/user/alessandrodolcemente""]","\n<div class=""content-rece""><p>Il progetto nasce agli inizi del 2006 da una forte voglia del cantante-chitarrista Simone Pellegrino (simon l&apos;etranger) di fare una musica che avesse nell&apos;anima un forte legame con la propria terra sfruttando le sue immagini, i suoi colori e le distrazioni reali per descrivere e scrivere. Tali immagini sono avvolte da melodie e sonorit&#xE0; &quot;indie-pop&quot; (a noi piace dire finto-pop) che ancor di pi&#xF9; rendono rarefatto il contenuto dei testi. Nel fare questo &#xE8; spinto e motivato dal suo batterista, Salvatore Corlian&#xF2;, che da subito crede nel progetto e s&apos;impegna nell&apos;ardua ricerca degli altri compone&#x2026;</p></div>\n","[{""name"":""Il Temporale Estivo"",""date"":"" 2008 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/dolcemente/album/il-temporale-estivo/8531""}]"
"","DolceuchessinA","http://www.rockit.it/dolceuchessina","Band, Emilia Romagna","0","Ska, Punk ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/news/nuove-date-sub-tour-maggio"",""/news/comunicato-sub-festival"",""/news/prossimi-concerti-sub"",""/user/dolce""]","\n<div class=""content-rece""></div>\n","[]"
"","Dolcevena","http://www.rockit.it/dolcevena","Band, Lazio","2","Noise, Indie, Post-Rock ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/news/today-im-rock-sa-ai-nastri-partenza""]","\n<div class=""content-rece""></div>\n","[]"
"","Dolcevitae","http://www.rockit.it/dolcevitae","Band, Treviso, Veneto","0","Rock, Pop ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/user/dolcevitae""]","\n<div class=""content-rece""><p>Da esperienze diverse e colorate alchimie prendono anima e luce i DOLCEVITAE, band decisa a dare un senso e una risposta a tutte le sintonie e le armonie, le gioie e i dolori, che ognuno di noi &#xE8; tenuto ad affrontare e a vivere ogni giorno, trasformandole in canzoni. Tra odio e amore, tra ricordo e speranza, prendono vita le parole di Paolo Forte, immerse nella musica, nelle ritmiche e negli arrangiamenti di Stefano Cartapatti, Raffaele Bianco, Giuseppe Comodo e Federico Gasparini, cuori pulsanti e parti integranti di un Disegno che gi&#xE0; parla da s&#xE8;.</p></div>\n","[{""name"":""ESTASI & TORMENTO"",""date"":"" 2011 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/dolcevitae/album/estasi-e-tormento/15142""}]"
"","Dolciveleni","http://www.rockit.it/dolciveleni","Band, Campania","0","Rock ","url(/thumb700x250/foto/3180.jpg)","[""/user/dl375475c""]","\n<div class=""content-rece""></div>\n","[]"
"","Dolho","http://www.rockit.it/dolho78","Band, Perugia, Umbria","0","Cantautore, Rock, Acustico ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/user/dolho""]","\n<div class=""content-rece""></div>\n","[]"
"","Dollmen","http://www.rockit.it/dollmen","Band, Lombardia","0","Progressive, Metal ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/recensione/2097/dollmen-q-menda""]","\n<div class=""content-rece""></div>\n","[{""name"":""Q-menda"",""date"":"" 2001 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/dollmen/album/q-menda/2097""}]"
"","domailvento","http://www.rockit.it/domailvento","Band, Trento, Trentino Alto Adige","1","Rock ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/user/domailvento""]","\n<div class=""content-rece""></div>\n","[]"
"","Domani Smetto","http://www.rockit.it/domanismetto","Band, Venezia, Veneto","0","Strumentale, Etnico, Demenziale ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/user/domanismetto""]","\n<div class=""content-rece""></div>\n","[]"
"","Domenico Caliri Camera Lirica","http://www.rockit.it/cameralirica","Band, Bologna, Emilia Romagna","0","Strumentale, Jazz, Alternativo ","url(/thumb700x250/foto/96782.jpg)","[""/recensione/27372/domenico-caliri-camera-lirica-camera-lirica"",""/user/CAL""]","\n<div class=""content-rece""><p>Domenico Caliri Camera Lirica</p> <p>Camera Lirica &#xE8; un ensemble di orientamento &quot;avant-jazz&quot; diretto dal chitarrista Domenico Caliri, compositore delle 9 tracks contenute nell&apos;omonimo cd, edito dall&apos;etichetta Caligola Records nel 2014. Il progetto annovera tra i migliori esponenti del jazz contemporaneo italiano delle ultime generazioni. La musica di Camera Lirica &#xE8; un contenitore di polifonie e contrappunti che abilmente cercano di distanziarsi dai comuni clich&#xE9; di genere. Nonostante la chiara matrice jazzistica, non risulta facile collocare questa musica in un unico contenitore stilistico.</p></div>\n","[{""name"":""Camera Lirica"",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/27372.jpg"",""link"":""http://www.rockit.it/cameralirica/album/camera-lirica/27372""}]"
"","Domenico Reddemo","http://www.rockit.it/domenicoreddemo","Band, Roma, Lazio","0","Cantautore, Rock ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/recensione/19537/domenico-reddemo-i-r"",""/user/Reddemo""]","\n<div class=""content-rece""><p>Cantautore</p> <p>&quot; Domenico Colasuonno nasce ad Andria il 23/10/1983 ed &#xE8; da subito soprannominatoReddemo.    <br>\nLa sua avventura inizia nell&apos;anno 2000 quando fonda, insieme ad alcuni amici, la sua prima rock band, inizialmente denominata Metalfate, poi ribattezzata col nome di Assenzio, con la quale partecipa a numerose manifestazioni musicali nella sua citt&#xE0; e in alcune zone limitrofe.   <br>\nDomenico si render&#xE0; conto ben presto, per&#xF2;, di come la sua ambizione musicale abbia vedute ben pi&#xF9; ampie rispetto a quella del resto della band. <br>\nCos&#xEC; nel 2005 gli Assenzio decidono di sciogliersi e Reddemo si ritrover&#xE0; ad intraprendere una strada tutta in salita, come quella del cantante solista, ma che sapr&#xE0; arricchirsi di testi e poesie che non vedranno l&apos;ora di essere trasformati in musica.   <br>\nDa solista, infatti, partecipa a diversi concorsi per cantanti emergenti della regione Puglia, tra cui nel ... &quot;Giovent&#xF9; sonica&quot; nella provincia di Foggia, dove si aggiudica il premio come &quot;miglior voce della serata&quot;, e nel 2006 quello per il musical &quot;Prova a dire T&apos;amo&quot; per l&apos;Accademia Teatrale di San Remo, dove riceve ottimi riconoscimenti oltre ad un posto nella stessa Accademia, a cui, per&#xF2;, sar&#xE0; costretto a rinunciare per motivi economici.    <br>\nLa prima traccia ufficiale arriva nell&apos;aprile del 2006 con il brano &quot;Dove Vuoi&quot;, grazie ad un cd sponsorizzato per tutti i gruppi emergenti dalla citt&#xE0; di Andria,  e sar&#xE0; proprio in quell&apos;occasione che Domenico incontrer&#xE0; alcuni musicisti, che collaboreranno con lui in futuro per la realizzazione della cover &quot;Per un ora D&apos;amore&quot; dei M. Bazar e per numerose serate ed esibizioni in locali pugliesi, tutte targate col nome di Reddemo.<br>\nNel`anno 2007, spinto dal desiderio di evadere dal quel mondo che iniziava a stargli &quot;stretto&quot; e da una passione sempre pi&#xF9; forte per la lingua inglese, Reddemo decide di lasciare la sua terra e di partire per Londra. E sar&#xE0; proprio in questa citt&#xE0; cosmopolita che avr&#xE0; modo di confrontarsi con alcuni gruppi britannici che gi&#xE0; godevano di buona fama nel folcloristico quartiere di Camden Town. <br>\nNel 2008 registra una demo acustica dalle tipiche sonorit&#xE0; celtiche, &quot;Rehearsal sound and Emotion&quot;, e successivamente realizza il suo primo videoclip amatoriale sulla cover dei M. Bazar &quot;Per Un ora D&apos;amore&quot;. <br>\nMaturata ed arricchita, grazie all&apos;esperienza londinese, la sua voglia di far musica, nell&apos;ottobre del 2009 Reddemo si sposta in un&apos;altra capitale, ma questa volta in quella italiana, Roma. <br>\nEd &#xE8; qui che ritrova alcuni musicisti con i quali, un paio di anni prima, aveva collaborato all&apos;arrangiamento delle sue canzoni, in particolare Francesco Quercia alla chitarra. <br>\nDopo alcune esibizioni in pubblico, spinto anche dal suo ormai fedelissimo chitarrista, Domenico decide di iniziare a pensare a un progetto di inediti, che lo vedr&#xE0; diviso tra sala prove e studi di registrazione per un anno intero fino all&apos;uscita dell&apos;album a fine luglio 2011.   <br>\nAdesso la sua vita e le sue canzoni potranno prendere forma in emozionanti &quot;live&quot; sui pi&#xF9; importanti palcoscenici musicali italiani ed internazionali. &quot;</p></div>\n","[{""name"":""I = R"",""date"":"" 2011 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/19537.jpg"",""link"":""http://www.rockit.it/domenicoreddemo/album/i-r/19537""}]"
"","domenicosisto & omertha' music clan","http://www.rockit.it/domenicosisto","Band, caulonia (RC), Calabria","0","Rock, Etnico, Alternativo ","url(/thumb700x250/foto/78574.jpg)","[""/recensione/24103/domenicosisto-e-omertha-music-clan-u-tempu-rallenta"",""/recensione/23150/domenicosisto-e-omertha-music-clan-nu-jornu-domenico-sisto-e-omertha-music-clan"",""/user/domenicosisto""]","\n<div class=""content-rece""><p>Il ritorno del cantante della band Omertha&apos; con un nuovo disco rock in dialetto Calabrese</p> <p>Muri di chitarre, synth, basso, batteria e sonorit&#xE0; middle-europee che si scontrano e si incontrano con la melodia del dialetto calabrese in un progetto che sa di vero e sanguigno, che profuma di speranza per un futuro diverso e pi&#xF9; credibile per la musica rock italiana.&#x2028;Domenico Sisto &#xE8; un artista dalla sensibilit&#xE0; fuori dal comune. &#xC8; capace di una sincerit&#xE0; disarmante e di comunicare emozioni e pensieri con un linguaggio semplice e diretto, come solo i grandi compositori sanno fare. Il suo disco d&apos;esordio &#x201C;U tempu rallenta&#x201D; &#xE8; un piccolo capolavoro. Un lavoro seminale per chi verr&#xE0; dopo, un lavoro che dimostra come sia possibile contaminare fortemente eppure credibilmente le proprie radici culturali con generi musicali apparentemente lontani.<br>\n&#x2028;LINK :<br>\n<a href=""http://www.domenicosisto.it"" target=""_blank"" rel=""nofollow"">www.domenicosisto.it</a> <br>\n<a href=""http://www.cnimusic.it/utempurallenta"" target=""_blank"" rel=""nofollow"">www.cnimusic.it/utempurallenta</a><br>\n<a href=""http://www.youtube.com/OMERTHA1991H2011"" target=""_blank"" rel=""nofollow"">www.youtube.com/OMERTHA1991H2011</a><br>\n<a href=""http://www.facebook.com/DomenicoSistoOmerthaMusicClan"" target=""_blank"" rel=""nofollow"">www.facebook.com/DomenicoSistoOmerthaMusicClan</a></p></div>\n","[{""name"":""Nu Jornu - Domenico Sisto & Omertha' Music Clan"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/23150.jpg"",""link"":""http://www.rockit.it/domenicosisto/album/nu-jornu-domenico-sisto-e-omertha-music-clan/23150""},{""name"":""U TEMPU RALLENTA"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/24103.jpg"",""link"":""http://www.rockit.it/domenicosisto/album/u-tempu-rallenta/24103""}]"
"","Domina Noctis","http://www.rockit.it/dominanoctis","Band, Parma, Emilia Romagna","1","Rock, Metal, Gotico ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/recensione/10774/domina-noctis-second-rose"",""/user/dominanoctis""]","\n<div class=""content-rece""></div>\n","[{""name"":""Second Rose"",""date"":"" 2008 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/10774.jpg"",""link"":""http://www.rockit.it/dominanoctis/album/second-rose/10774""}]"
"","Domine","http://www.rockit.it/domine","Band, Toscana","0","Metal ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/news/oggi-parte-nuova-edizione-marea-07"",""/recensione/1653/domine-stormbringer-ruler"",""/user/domine""]","\n<div class=""content-rece""></div>\n","[{""name"":""Ancient Spirit Rising"",""date"":"" 2007 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/31228.jpg"",""link"":""http://www.rockit.it/domine/album/ancient-spirit-rising/31228""},{""name"":""Emperor Of The Black Runes"",""date"":"" 2004 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/31229.jpg"",""link"":""http://www.rockit.it/domine/album/emperor-of-the-black-runes/31229""},{""name"":""Stormbringer ruler"",""date"":"" 2001 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/1653.jpg"",""link"":""http://www.rockit.it/domine/album/stormbringer-ruler/1653""},{""name"":""Champion Eternal"",""date"":"" 1997 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/31230.jpg"",""link"":""http://www.rockit.it/domine/album/champion-eternal/31230""},{""name"":""Dragonlord"",""date"":"""",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/domine/album/dragonlord/31231""}]"
"","Domingo","http://www.rockit.it/ognimod","Band, Sicilia","0","Pop rock, Indie, Cantautore ","url(/thumb700x250/foto/104758.jpg)","[""/recensione/28992/domingo-and-i-still-think-when-i-was-a-child"",""/user/saccodomenico""]","\n<div class=""content-rece""><p>It&apos;s hard to talk about myself, specially when the project has just begun and the life is generally a work in progresIt&apos;s hard to talk about myself, specially when the project has just begun and the life is generally a work in progress......hope not in regress! ;-)<br>\nWhat can I say about me? I begun to write songs more than 10 years ago. I did it to react to life troubles, to heal myself, with no contractual obligation, but only when I had something to say.<br>\nNow I found the way to record some of those ones, I wish it could be only the beginning...........</p></div>\n","[{""name"":""Another Message in a Bottle"",""date"":"" 2016 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/33835.jpg"",""link"":""http://www.rockit.it/ognimod/album/another-message-in-a-bottle/33835""},{""name"":""...and I still think when I was a child..."",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/28992.jpg"",""link"":""http://www.rockit.it/ognimod/album/and-i-still-think-when-i-was-a-child/28992""},{""name"":""Instrumental Tribute Project"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/30843.jpg"",""link"":""http://www.rockit.it/ognimod/album/instrumental-tribute-project/30843""}]"
"","Domingo!",,,,,,,,,,
"","dominozero","http://www.rockit.it/dominozero","Band, Lombardia","1","Alternativo, Britpop, Pop rock ","url(/thumb700x250/foto/97468.jpg)","[""/user/dominozero""]","\n<div class=""content-rece""><p>I dominozero sono un band attiva dal 2001, nel 2013 completano la formazione. Marco Filippini (voce, chitarra); Marta No&#xE8; (tastiere, cori); Alex Polifrone (batteria, cori); Vat Savoini (basso, cori).<br>\n<br>\nI dominozero consigliano di non accettare i sogni altrui.</p></div>\n","[]"
"","Domopunk","http://www.rockit.it/domopunk","Band, Lombardia","0","Rock, Punk ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/articolo/band-cantiere-cantiere-sonoro-cremona"",""/news/ultima-serata-band-cantiere-cremona"",""/news/vincitori-delle-selezioni-band-cantiere""]","\n<div class=""content-rece""></div>\n","[]"
"","Domy Banshee","http://www.rockit.it/Domybanshee","Band, palermo, Sicilia","0","Rock, Grunge, Alternativo ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/user/remotebluegalaxy""]","\n<div class=""content-rece""><p>pittore rock post suicida</p> <p>ho 34 anni, risiedo nei pressi di palermo. dipingo e disegno, illustrazioni, ritratti, vignette di satira politica e sociale. in pittura unisco astrattismo, surrealismo, fumetto e collage. ho cantato per diversi anni in cover band. da 2 anni creo i miei pezzi improvvisando sulle mie poesie. li trovate su youtube</p></div>\n","[]"
"","Don Alvarez","http://www.rockit.it/donalvarez","Band, Milano, Lombardia","0","Rock, Pop, Funk ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/user/donalvarez""]","\n<div class=""content-rece""></div>\n","[{""name"":""2009"",""date"":"" 2009 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/10853.jpg"",""link"":""http://www.rockit.it/donalvarez/album/2009/10853""}]"
